ZIP,ZIPType,CityName,StateAbbr,ZCTA_USE
02303,P,Brockton,MA,02302
02304,P,Brockton,MA,02301
02305,P,Brockton,MA,02301
02322,S,Avon,MA,02322
02324,S,Bridgewater,MA,02324
02325,U,Bridgewater,MA,02324
02327,P,Bryantville,MA,02359
02330,S,Carver,MA,02330
02331,P,Duxbury,MA,02332
02332,S,Duxbury,MA,02332
02333,S,East Bridgewater,MA,02333
02334,P,Easton,MA,02375
02337,P,Elmwood,MA,02333
02338,S,Halifax,MA,02338
02339,S,Hanover,MA,02339
02340,U,Hanover,MA,02339
02341,S,Hanson,MA,02341
02343,S,Holbrook,MA,02343
02344,U,Middleboro,MA,02346
02345,P,Manomet,MA,02360
02346,S,Middleboro,MA,02346
02347,S,Lakeville,MA,02347
02348,U,Lakeville,MA,02347
02349,U,Middleboro,MA,02347
02350,P,Monponsett,MA,02341
02351,S,Abington,MA,02351
02355,P,North Carver,MA,02330
02356,S,North Easton,MA,02356
02357,U,North Easton,MA,02357
02358,P,North Pembroke,MA,02359
02359,S,Pembroke,MA,02359
02360,S,Plymouth,MA,02360
02361,P,Plymouth,MA,02360
02362,P,Plymouth,MA,02360
02364,S,Kingston,MA,02364
02366,P,South Carver,MA,02366
02367,S,Plympton,MA,02367
02368,S,Randolph,MA,02368
02370,S,Rockland,MA,02370
02375,S,South Easton,MA,02375
02379,S,West Bridgewater,MA,02379
02381,P,White Horse Beach,MA,02360
02382,S,Whitman,MA,02382
02420,S,Lexington,MA,02420
02421,S,Lexington,MA,02421
02445,S,Brookline,MA,02445
02446,S,Brookline,MA,02446
02447,P,Brookline Village,MA,02445
02451,S,Waltham,MA,02451
02452,S,Waltham,MA,02452
02453,S,Waltham,MA,02453
02454,P,Waltham,MA,02451
02455,P,North Waltham,MA,02451
02456,P,New Town,MA,02472
02457,P,Babson Park,MA,02457
02458,S,Newton,MA,02458
02459,S,Newton Center,MA,02459
02460,S,Newtonville,MA,02460
02461,S,Newton Highlands,MA,02461
02462,S,Newton Lower Falls,MA,02462
02464,S,Newton Upper Falls,MA,02464
02465,S,West Newton,MA,02465
02466,S,Auburndale,MA,02466
02467,S,Chestnut Hill,MA,02467
02468,S,Waban,MA,02468
02471,P,Watertown,MA,02472
02472,S,Watertown,MA,02472
02474,S,Arlington,MA,02474
02475,P,Arlington Heights,MA,02474
02476,S,Arlington,MA,02476
02477,U,Watertown,MA,02472
02478,S,Belmont,MA,02478
02479,P,Waverley,MA,02478
02481,S,Wellesley Hills,MA,02481
02482,S,Wellesley,MA,02482
02492,S,Needham,MA,02492
02493,S,Weston,MA,02493
02494,S,Needham Heights,MA,02494
02495,P,Nonantum,MA,02458
02532,S,Buzzards Bay,MA,02532
02534,P,Cataumet,MA,02534
02535,S,Chilmark,MA,02535
02536,S,East Falmouth,MA,02536
02537,S,East Sandwich,MA,02537
02538,S,East Wareham,MA,02538
02539,S,Edgartown,MA,02539
02540,S,Falmouth,MA,02540
02541,P,Falmouth,MA,02540
02542,S,Buzzards Bay,MA,02542
02543,S,Woods Hole,MA,02543
02552,P,Menemsha,MA,02535
02553,P,Monument Beach,MA,02553
02554,S,Nantucket,MA,02554
02556,S,North Falmouth,MA,02556
02557,S,Oak Bluffs,MA,02557
02558,P,Onset,MA,02558
02559,S,Pocasset,MA,02559
02561,P,Sagamore,MA,02561
02562,S,Sagamore Beach,MA,02562
02563,S,Sandwich,MA,02563
02564,P,Siasconset,MA,02564
02565,P,Silver Beach,MA,02556
02568,S,Vineyard Haven,MA,02568
02571,S,Wareham,MA,02571
02573,P,West Chop,MA,02568
02574,P,West Falmouth,MA,02540
02575,P,West Tisbury,MA,02575
02576,S,West Wareham,MA,02576
02584,P,Nantucket,MA,02584
02601,S,Hyannis,MA,02601
02630,S,Barnstable,MA,02630
02631,S,Brewster,MA,02631
02632,S,Centerville,MA,02632
02633,S,Chatham,MA,02633
02634,P,Centerville,MA,02632
02635,S,Cotuit,MA,02635
02637,P,Cummaquid,MA,02637
02638,S,Dennis,MA,02638
02639,S,Dennis Port,MA,02639
02641,P,East Dennis,MA,02641
02642,S,Eastham,MA,02642
02643,P,East Orleans,MA,02643
02644,S,Forestdale,MA,02644
02645,S,Harwich,MA,02645
